# t (s)	mx	my	mz	skyrmionx (m)	skyrmiony (m)	skyrmionz (m)	Q
2.119999999999997e-9	8.08245948045537e-5	-3.5573669608867364e-5	0.9926974110661145	-7.676606208753512e-8	4.421600015776146e-8	0.0	-0.9372059651244797
2.1399999999999967e-9	8.080832751574173e-5	-3.563096645358677e-5	0.9926981364598754	-8.031820488664895e-8	4.4632200978591666e-8	0.0	-0.937201112559129
2.1599999999999967e-9	8.078539274970883e-5	-3.569415782221104e-5	0.9926989230105948	-8.387025971358735e-8	4.504835805882275e-8	0.0	-0.9371957160692636
2.1799999999999966e-9	8.077167320868021e-5	-3.5753003994959015e-5	0.9926996960813594	-8.742218866868175e-8	4.5464454726031844e-8	0.0	-0.9371904157254402
2.1999999999999965e-9	8.076783811651333e-5	-3.580726384799779e-5	0.9927004228143469	-9.097403130721464e-8	4.588051493813403e-8	0.0	-0.9371856148489892
2.2199999999999965e-9	8.075888591642385e-5	-3.5864983050745896e-5	0.9927011603413689	-9.452584422107192e-8	4.6296565205532615e-8	0.0	-0.9371808045936484
2.2399999999999964e-9	8.0737938775311e-5	-3.592978881270296e-5	0.9927019710278349	-9.807761467194448e-8	4.671259341224131e-8	0.0	-0.9371752799477814
2.2599999999999963e-9	8.071639536332253e-5	-3.599761375367821e-5	0.9927028312917217	-1.0162927631951238e-7	4.71285669302677e-8	0.0	-0.9371692466119683
2.2799999999999963e-9	8.0705404394906e-5	-3.6064301111143715e-5	0.992703667999127	-1.0518080453665295e-7	4.754448092267814e-8	0.0	-0.9371635626151387
2.299999999999996e-9	8.069887025419345e-5	-3.613036176464702e-5	0.9927044670177887	-1.0873225016270255e-7	4.796036337389844e-8	0.0	-0.9371584032960132
2.319999999999996e-9	8.068392019195815e-5	-3.6198338684139844e-5	0.9927052935546783	-1.1228365991625237e-7	4.8376230883046925e-8	0.0	-0.9371528740250612
2.339999999999996e-9	8.066093252718251e-5	-3.627001301900747e-5	0.9927061960322342	-1.1583499625985593e-7	4.879206323792742e-8	0.0	-0.9371461087612979
2.359999999999996e-9	8.064178345702277e-5	-3.634627383104364e-5	0.9927071360585268	-1.1938615649858587e-7	4.9207833630723e-8	0.0	-0.9371374471018321
2.379999999999996e-9	8.06308889963043e-5	-3.642576362495174e-5	0.9927080465150319	-1.2293697767904935e-7	4.9623546794503824e-8	0.0	-0.9371215941843658
2.399999999999996e-9	8.061940809981076e-5	-3.65046419470699e-5	0.9927089307457329	-1.264868354896161e-7	5.0039228109441635e-8	0.0	-0.9370666361295841
2.4199999999999958e-9	8.059991091643712e-5	-3.6581743756237704e-5	0.9927098572329958	-1.30032689479231e-7	5.045488081580588e-8	0.0	-0.9368023800786233
2.4399999999999957e-9	8.057714247344485e-5	-3.666272015652794e-5	0.9927108593315473	-1.33560746677994e-7	5.0870471177809606e-8	0.0	-0.9353939215851269
2.4599999999999956e-9	8.055925363476658e-5	-3.675326271234523e-5	0.9927118877556418	-1.3701537142299384e-7	5.1285967366456006e-8	0.0	-0.9278450168861295
2.4799999999999956e-9	8.054542401759572e-5	-3.684899829678883e-5	0.9927128843817012	-1.402739498991866e-7	5.170153201972082e-8	0.0	-0.8961409003390031
2.4999999999999955e-9	8.052867657993854e-5	-3.6940154063709586e-5	0.9927138679019593	-1.4361204800201183e-7	5.211736535513634e-8	0.0	-0.8441708498605507
2.5199999999999954e-9	8.05070224612803e-5	-3.70273753842628e-5	0.9927149062962825	-1.475079667645123e-7	5.2532268154886145e-8	0.0	-0.8307179006980638
2.5399999999999954e-9	8.048500907010709e-5	-3.712347012470095e-5	0.9927160178970653	1.4848552288327104e-7	5.294746803891809e-8	0.0	-0.831462296260142
2.5599999999999953e-9	8.046566052054857e-5	-3.723424266772469e-5	0.9927171460232085	1.4452996809022677e-7	5.336336236701813e-8	0.0	-0.8380067596548267
2.5799999999999952e-9	8.044698508324164e-5	-3.734752154144526e-5	0.9927182433597661	1.4104629606983196e-7	5.3778392032472615e-8	0.0	-0.8827689170783519
2.599999999999995e-9	8.042650371907565e-5	-3.745098055611589e-5	0.9927193417102965	1.3782946803904334e-7	5.41934158244926e-8	0.0	-0.9230818897942892
2.619999999999995e-9	8.040443813707802e-5	-3.755313192696307e-5	0.9927205056856175	1.344140745251128e-7	5.460861525037463e-8	0.0	-0.9343873603565361
2.639999999999995e-9	8.038154279845044e-5	-3.767230228270466e-5	0.9927217390612725	1.3089780794016748e-7	5.502373119500999e-8	0.0	-0.9365482263887573
2.659999999999995e-9	8.035787082455097e-5	-3.780764071909237e-5	0.9927229807236854	1.273558251779149e-7	5.543875284470334e-8	0.0	-0.9369384015453872
2.679999999999995e-9	8.03344678614291e-5	-3.793875416387214e-5	0.9927241954517225	1.2380813667524388e-7	5.58537029609768e-8	0.0	-0.9370061407084329
